,violent,crime_type,unique_id,gender,age,race,marital_stat,is_military,year_arrested,year_admitted,ntimes_arrested,age_arrest_first,violent_first,probation_yn,ntimes_incarc_adult,ntimes_incarc_juv,highest_grade_attend,has_GED,has_HSD,had_job,public_assist_prior,monthly_income_prior,family_makeup,child_caretaker_welfare,child_caretaker_substabuse,parents_servetime,family_servetime,commit_crime_juv,age_crime_first,forcible_sex,phys_abuse,age_drink_first,drink_frequency,used_heroin,used_meth,used_barbiturates,used_crack,used_cocaine,used_pcp,used_ecstacy,used_lsd,used_pot
106,1,1,107,male,20,black,never_marr,0,2003,2003,3.0,13.0,0,0,2.0,0.0,12.0,1,0,1,0,2250.0,mother,0,0,0,1,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,1
111,1,1,112,male,47,other,separated,0,2000,2000,7.0,8.0,1,0,3.0,0.0,14.0,0,0,1,0,0.0,mother,1,0,0,0,1,16.0,0,0,15.9622498484,0,1,0,0,0,0,0,0,0,1
115,1,1,116,male,33,white,never_marr,0,1998,2002,2.0,26.0,1,0,1.0,0.0,9.0,0,0,1,1,300.0,both,0,0,0,0,0,13.8279620853,0,1,18.0,10,1,0,0,1,1,0,0,1,1
120,1,1,121,male,53,white,never_marr,0,2002,2002,1.0,34.0,1,0,2.0,0.0,13.0,0,1,1,0,2250.0,mother,0,0,0,0,0,13.8279620853,0,0,18.0,10,0,0,0,0,0,0,0,0,0
125,0,5,126,male,19,white,never_marr,0,2002,2002,0.0,18.9689288635,0,0,2.0,0.0,11.0,0,0,0,0,0.0,both,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
126,1,1,127,male,21,white,never_marr,0,2001,2001,4.0,16.0,0,0,3.0,0.0,10.0,0,0,1,0,7500.0,institution,1,1,1,0,1,14.0,0,1,16.0,10,0,0,0,0,1,0,1,0,1
131,1,1,132,male,27,white,never_marr,0,1994,1994,0.0,18.9689288635,0,0,2.0,0.0,10.0,0,0,0,0,0.0,mother,0,0,0,0,1,14.0,1,0,8.0,9,0,1,1,0,1,0,1,0,1
132,0,3,133,male,33,other,divorced,0,2003,2003,2.0,14.0,1,1,2.0,0.0,9.0,0,0,0,0,500.0,mother,0,1,0,0,1,14.0,0,1,14.0,9,1,1,0,1,1,1,1,1,1
134,0,3,135,male,18,white,never_marr,0,2001,2001,2.0,16.0,0,1,2.0,0.0,10.0,0,0,0,1,0.0,mother,1,0,0,1,1,10.0,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
137,1,1,138,male,35,black,never_marr,0,1990,1990,3.0,17.0,0,1,2.0,0.0,10.0,0,0,1,0,1100.0,mother,1,1,0,0,1,16.0,0,0,18.0,10,0,0,0,0,0,0,0,0,1
138,1,1,139,male,26,black,never_marr,0,1996,1996,0.0,18.9689288635,0,0,2.0,0.0,12.0,0,1,1,0,500.0,both,0,0,1,0,0,13.8279620853,0,0,13.0,9,0,0,0,0,0,0,0,0,1
139,0,3,140,male,59,black,married,1,2003,2003,9.0,17.0,0,1,9.0,0.0,12.0,0,1,1,1,700.0,grandparents,0,0,0,0,1,13.8279620853,0,0,7.0,8,0,0,0,0,1,0,0,0,0
140,1,1,141,male,20,white,never_marr,0,2002,2002,0.0,18.9689288635,0,0,2.0,0.0,12.0,0,1,1,1,100.0,mother,1,1,0,0,1,13.0,0,0,13.0,10,0,1,0,0,1,1,1,1,1
142,1,1,143,male,51,other,divorced,0,2000,2000,4.0,19.0,0,1,3.0,0.0,11.0,1,0,1,1,1750.0,mother,1,0,0,0,0,13.8279620853,0,0,13.0,0,1,0,0,0,1,0,0,0,1
146,0,2,147,male,21,white,never_marr,0,2002,2001,1.0,18.0,0,0,2.0,0.0,11.0,0,0,1,0,1350.0,both,0,0,0,0,1,10.0,0,0,12.0,9,0,0,0,0,0,0,1,0,1
148,1,1,149,male,44,white,divorced,0,1997,1997,2.0,18.9689288635,0,0,2.0,0.0,10.0,1,0,1,0,0.0,both,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
150,1,1,151,male,51,white,divorced,1,1981,1987,4.0,16.0,0,1,1.0,0.0,12.0,0,1,1,0,0.0,both,0,1,0,0,1,14.0,0,0,14.0,9,0,0,0,0,1,0,0,1,1
161,1,1,162,male,59,black,divorced,0,1981,1981,0.0,18.9689288635,0,0,2.0,0.0,12.0,0,1,0,1,300.0,father,0,0,0,0,0,13.8279620853,0,0,13.0,0,1,0,0,0,1,0,0,1,1
166,1,1,167,male,35,black,never_marr,0,9997,9997,1.0,17.0,1,1,2.0,0.0,11.0,0,0,0,0,0.0,mother,1,0,0,0,1,14.0,0,0,15.9622498484,0,0,0,0,0,1,0,0,0,1
175,0,2,176,female,35,white,married,0,2001,2001,14.0,11.0,0,1,2.0,0.0,0.0,0,0,1,0,2250.0,both,1,1,1,0,1,15.0,1,0,15.0,9,1,0,1,1,1,0,1,0,1
179,0,2,180,female,26,black,never_marr,0,1996,2003,0.0,18.9689288635,0,0,2.0,0.0,16.0,0,1,1,0,6250.0,both,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
183,1,1,184,female,39,white,never_marr,0,2000,2000,13.0,19.0,0,1,13.0,0.0,11.0,1,0,0,0,0.0,both,0,1,0,1,0,13.8279620853,1,0,21.0,7,1,0,0,0,1,0,0,0,0
184,1,1,185,female,61,black,married,0,1997,1997,0.0,18.9689288635,0,0,2.0,0.0,13.0,0,1,1,0,2250.0,both,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
185,0,2,186,female,27,white,never_marr,0,2003,2003,7.0,18.0,0,1,2.0,0.0,13.0,0,1,1,0,100.0,both,0,0,0,0,0,13.8279620853,0,0,24.0,9,0,0,0,0,1,0,1,0,1
187,0,3,188,female,47,white,divorced,0,1996,1998,1.0,30.0,0,1,2.0,0.0,11.0,1,0,0,1,700.0,mother,0,0,0,1,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
190,0,2,191,female,35,white,married,0,2003,2003,2.0,17.0,0,0,2.0,0.0,14.0,0,1,0,0,0.0,foster,1,0,0,0,0,13.8279620853,1,1,24.0,0,1,0,0,1,1,0,0,0,1
193,0,4,194,female,41,white,separated,0,2003,2003,0.0,18.9689288635,0,0,2.0,0.0,5.0,0,0,0,0,0.0,both,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
195,0,2,196,female,39,white,married,0,2001,2001,0.0,18.9689288635,0,0,2.0,0.0,14.0,0,1,1,0,2250.0,both,0,0,0,0,0,13.8279620853,1,1,19.0,0,0,0,0,0,0,0,0,0,0
200,0,3,201,female,39,black,never_marr,0,2003,2003,2.0,18.9689288635,0,0,2.0,0.0,10.8733575272,0,0,0,0,0.0,family_unknown,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
203,0,3,204,female,25,other,never_marr,0,2003,2003,0.0,18.9689288635,0,0,2.0,0.0,12.0,0,1,0,0,100.0,mother,0,1,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,1
205,0,3,206,female,45,white,never_marr,0,2003,2003,4.0,38.0,0,0,2.0,0.0,12.0,0,1,0,0,300.0,both,0,0,0,0,0,13.8279620853,0,0,18.0,0,1,0,0,0,0,0,0,0,0
207,0,3,208,female,22,white,never_marr,0,2002,2003,0.0,18.9689288635,0,0,2.0,0.0,13.0,0,1,1,1,7500.0,mother,1,1,0,1,1,15.0,1,1,12.0,0,1,0,0,1,1,0,0,0,0
209,0,3,210,female,39,black,never_marr,0,2003,2003,2.0,22.0,0,1,2.0,0.0,10.0,0,0,0,1,700.0,grandparents,1,1,0,1,1,14.0,0,1,17.0,8,0,0,0,1,0,0,0,0,0
211,0,3,212,female,22,black,never_marr,0,2003,2003,0.0,18.9689288635,0,0,2.0,0.0,10.0,0,0,0,0,0.0,mother,0,0,0,0,0,13.8279620853,0,0,20.0,9,0,0,0,0,0,0,0,0,0
212,1,1,213,female,40,white,never_marr,0,1992,1993,2.0,12.0,0,1,2.0,0.0,8.0,1,0,0,0,1690.21001409,both,0,1,0,0,1,12.0,1,1,11.0,10,1,1,0,0,1,0,0,1,0
213,0,2,214,female,19,black,never_marr,0,2001,2002,25.0,10.0,0,1,2.0,0.0,8.0,0,0,1,1,900.0,mother,1,1,0,0,1,7.0,1,1,9.0,10,0,0,0,0,0,0,0,0,1
216,0,3,217,female,34,white,never_marr,0,2000,2001,6.0,20.0,0,0,2.0,0.0,12.0,0,0,1,0,0.0,father,0,0,0,0,1,14.0,0,1,15.0,9,1,0,0,1,1,1,0,0,1
217,0,4,218,female,44,white,divorced,0,2003,2003,4.0,21.0,0,1,1.0,0.0,10.0,0,0,1,0,1750.0,other_rel,0,1,0,1,0,13.8279620853,1,1,11.0,6,1,0,1,1,1,0,0,1,1
218,0,3,219,female,37,white,separated,1,2003,2003,4.0,36.0,0,0,1.0,0.0,14.0,0,1,0,0,0.0,other_rel,1,1,0,0,0,13.8279620853,1,1,15.9622498484,0,0,0,0,0,1,0,0,0,1
221,1,1,222,female,23,white,never_marr,0,2002,2003,1.0,21.0,0,0,2.0,0.0,10.0,0,0,1,1,500.0,mother,1,0,0,0,0,13.8279620853,0,0,21.0,7,0,0,0,0,0,0,0,0,0
224,0,4,225,female,41,white,divorced,0,2003,2003,18.0,17.0,1,1,1.0,0.0,10.0,1,0,0,1,300.0,mother,0,1,0,1,1,16.0,1,1,16.0,8,1,1,1,1,1,0,1,0,1
225,1,1,226,female,36,black,never_marr,0,2003,2003,3.0,27.0,1,1,2.0,0.0,12.0,0,0,0,1,300.0,both,1,0,0,0,0,13.8279620853,1,1,18.0,10,0,0,0,0,0,0,0,0,1
226,0,2,227,female,35,white,married,0,2003,2003,2.0,27.0,0,1,2.0,0.0,9.0,0,0,0,0,700.0,both,0,0,1,1,0,13.8279620853,0,0,15.9622498484,0,1,0,0,1,0,0,0,0,0
227,1,1,228,female,51,white,separated,0,2003,2003,6.0,32.0,0,1,8.0,0.0,5.0,0,0,0,1,0.0,mother,0,1,1,1,0,13.8279620853,0,1,33.0,10,1,0,0,0,0,0,0,0,1
230,1,1,231,female,26,white,never_marr,0,1997,1997,7.0,9.0,0,1,0.0,3.0,9.0,1,0,1,0,1750.0,foster,0,1,1,0,1,9.0,1,1,9.0,10,0,1,1,1,1,0,1,1,1
231,0,3,232,female,48,black,never_marr,0,1994,9997,0.0,39.0,0,0,2.0,0.0,12.0,0,1,0,0,1690.21001409,both,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
232,1,1,233,female,38,white,never_marr,0,1998,1998,1.0,33.0,0,0,2.0,0.0,11.0,1,0,1,0,1100.0,both,0,1,0,1,1,13.0,0,1,16.0,6,1,0,0,0,0,0,0,1,1
237,0,3,238,female,41,black,never_marr,0,2001,2002,6.0,26.0,0,1,4.0,0.0,11.0,0,0,1,1,500.0,both,1,0,0,0,0,13.8279620853,1,0,15.9622498484,0,0,0,0,1,0,0,0,0,1
